"Word","NMorph"
"a","1"
"aah","#"
"Aaron","1"
"aback","1"
"abacus","1"
"abandon","1"
"abandoned","2"
"abandoning","2"
"abandonment","2"
"abase","2"
"abasement","3"
"abash","1"
"abate","1"
"abated","2"
"abbess","1"
"abbey","1"
"abbot","1"
"abbreviate","3"
"abbreviated","4"
"abbreviation","4"
"abbreviations","5"
"abdicate","1"
"abdomen","1"
"abdominal","2"
"abduct","2"
"abduction","3"
"Abe","1"
"abed","1"
"Abel","1"
"Abel's","2"
"aberrant","2"
"aberration","3"
"aberrations","4"
"abet","1"
"abetted","2"
"abeyance","2"
"abhor","1"
"abhorred","2"
"abhorrent","2"
"abide","1"
"abides","2"
"abiding","2"
"Abigail","1"
"abilities","3"
"ability","2"
"abject","1"
"ablaze","2"
"able","1"
"ably","2"
"abnormal","3"
"abnormalities","5"
"abnormality","4"
"abnormally","4"
"aboard","1"
"abode","1"
"abolish","1"
"abolished","2"
"abolition","2"
"abolitionist","3"
"abolitionists","4"
"abominable","2"
"abominate","2"
"aboriginal","3"
"aborigine","3"
"aborigines","4"
"abort","1"
"abortion","2"
"abortionist","3"
"abortions","3"
"abortive","2"
"abound","1"
"abounded","2"
"abounding","2"
"abounds","2"
"about","1"
"above","1"
"aboveground","2"
"abracadabra","1"
"Abraham","1"
"abrasion","2"
"abrasive","2"
"abreast","1"
"abridged","2"
"abridgment","2"
"abroad","1"
"abrogate","3"
"abrogated","4"
"abrupt","1"
"abruptly","2"
"abruptness","2"
"abscess","1"
"abscesses","2"
"abscissa","2"
"abscond","1"
"absence","2"
"absences","3"
"absent","2"
"absented","3"
"absentee","3"
"absenteeism","4"
"absently","3"
"absentmindedly","5"
"absinth","1"
"absolute","1"
"absolutely","2"
"absoluteness","2"
"absolutes","2"
"absolution","2"
"absolutism","2"
"absolve","2"
"absorb","2"
"absorbed","3"
"absorbency","3"
"absorbent","3"
"absorber","3"
"absorbing","3"
"absorbs","3"
"absorption","3"
"absorptions","4"
"absorptive","3"
"abstain","1"
"abstaining","2"
"abstention","2"
"abstinence","2"
"abstinent","2"
"abstract","2"
"abstracted","3"
"abstractedness","4"
"abstracting","3"
"abstraction","3"
"abstractionism","#"
"abstractionists","5"
"abstractions","4"
"abstractive","#"
"abstractly","3"
