"","word","POS","logfreq","nmorph","ico","fun"
"1","the","Article",6.1766436197553,"1",0.428571429,NA
"2","you","Pronoun",6.32933969831097,"1",-0.4,NA
"3","to","To",6.06317229855216,"1",-0.416666667,NA
"4","a","Article",6.01752581716572,"1",0.461538462,NA
"5","and","Conjunction",5.8342814273373,"1",0.5625,NA
"6","it","Pronoun",5.98394771743588,"1",1,NA
"7","of","Preposition",5.77117577156368,"1",0.230769231,NA
"8","that","Determiner",5.8571382268439,"1",-0.0625,NA
"9","in","Preposition",5.69761724386273,"1",1.461538462,NA
"10","is","Verb",5.662440491974,"1",-0.142857143,NA
"11","we","Pronoun",5.66238757947146,"1",1.428571429,NA
"12","this","Determiner",5.60950476671516,"1",0.133333333,NA
"13","for","Preposition",5.54611185676681,"1",-1.4,NA
"14","me","Pronoun",5.67333429747687,"1",0.6,NA
"15","he","Pronoun",5.59050523199268,"1",1.058823529,NA
"16","my","Pronoun",5.53769319436739,"1",1.5,NA
"17","have","Verb",5.49725179166937,"1",-0.266666667,NA
"18","your","Pronoun",5.516820843548,"1",0,NA
"19","was","Verb",5.45998320887664,"1",-0.833333333,NA
"20","on","Preposition",5.54991383445688,"1",0.916666667,NA
"21","be","Verb",5.46699507375075,"1",0.384615385,NA
"22","with","Preposition",5.41071988585366,"1",1.166666667,NA
"23","but","Conjunction",5.35274577042982,"1",0,NA
"24","what","Determiner",5.70067430178157,"1",0.142857143,NA
"25","not","Not",5.44196834892386,"1",1.384615385,NA
"26","do","Verb",5.49542777003036,"1",0.846153846,2.09375
"27","are","Verb",5.42434741987193,"1",-0.9,NA
"28","so","Adverb",5.335363609435,"1",0.909090909,NA
"29","they","Pronoun",5.32066754214173,"1",0.454545455,NA
"30","all","Determiner",5.42037827819445,"1",-0.1,NA
"31","know","Verb",5.46505700838056,"1",0.769230769230769,1.892857143
"32","if","Conjunction",5.2567441972168,"1",0.636363636,NA
"33","there","Ex",5.34587342082813,"1",0.461538462,NA
"34","like","Preposition",5.30951945079936,"1",-0.333333333,2.431818182
"35","she","Pronoun",5.27961676006402,"1",0.714285714,NA
"36","get","Verb",5.36879435016141,"1",-0.583333333,NA
"37","here","Adverb",5.36321510537994,"1",-0.2,NA
"38","no","Interjection",5.48365860383744,"1",2.8125,NA
"39","out","Adverb",5.29475712806123,"1",0.923076923,NA
"40","one","Number",5.19502742193737,"1",1.84615384615385,2.055555556
"41","at","Preposition",5.2150371190435,"1",-0.166666667,NA
"42","him","Pronoun",5.24971431070596,"1",0.583333333,NA
"43","her","Pronoun",5.16025238056781,"1",0.7,NA
"44","now","Adverb",5.21307659793577,"1",1.461538462,NA
"45","about","Preposition",5.26765739705392,"1",-0.1,NA
"46","will","Verb",5.03465652646032,"1",0.214285714,2.042553191
"47","up","Adverb",5.27223856066483,"1",1.333333333,NA
"48","go","Verb",5.2865597539803,"1",1.454545455,1.966666667
"49","his","Pronoun",5.03488903532673,"1",0.588235294,NA
"50","want","Verb",5.14835274020704,"1",-0.214285714285714,1.970588235
"51","when","Conjunction",5.01594624365757,"1",-1.125,NA
"52","think","Verb",5.13755032256453,"1",0.363636364,2.142857143
"53","right","Adverb",5.31054250421518,"1",0.916666666666667,2.366666667
"54","how","Adverb",5.19275696284819,"1",0.461538462,NA
"55","who","Pronoun",5.05450197739055,"1",1.375,NA
"56","see","Verb",5.11525760806122,"1",1.272727273,2.119047619
"57","time","Noun",4.99952636083446,"1",-0.7,NA
"58","would","Verb",4.95502835359007,"1",-2.1,NA
"59","were","Verb",4.92842145848778,"1",0.6,NA
"60","us","Pronoun",4.93691065900963,"1",-0.769230769,NA
"61","them","Pronoun",4.95770782871912,"1",-0.692307692,NA
"62","come","Verb",5.20463811249644,"1",0.214285714285714,2.444444444
"63","did","Verb",5.07704433532984,"1",0.466666667,NA
"64","back","Adverb",5.0105882596042,"1",0.4,2
"65","then","Adverb",4.8806249760927,"1",0.1875,NA
"66","our","Pronoun",4.85385632943898,"1",-0.909090909,NA
"67","why","Adverb",5.05951797930999,"1",0.769230769,NA
"68","some","Determiner",4.94492660998622,"1",0.5,NA
"69","let","Verb",5.09125180580036,"1",NA,2.052631579
"70","could","Verb",4.91965328231036,"1",-1.454545455,NA
"71","by","Preposition",4.83483381813589,"1",0.272727273,NA
"72","take","Verb",4.9842752143755,"1",1.2,2
"73","man","Noun",4.97374651338917,"1",0.647058824,2.095238095
"74","good","Adjective",5.12423678404063,"1",0.928571429,2.236842105
"75","look","Verb",4.99700172804132,"1",1.818181818,2.323529412
"76","because","Conjunction",4.73737554874525,"1",0.214285714,NA
"77","say","Verb",4.92236209678479,"1",0.8,2.27027027
"78","people","Noun",4.75014568853813,"1",0.6,2.194444444
"79","need","Verb",4.81981364077479,"1",NA,1.9
"80","an","Article",4.97805263012357,"1",-0.642857143,NA
"81","where","Adverb",4.97007710209508,"1",-0.818181818,NA
"82","make","Verb",4.8498860142634,"1",0.642857143,1.857142857
"83","more","Determiner",4.82104819762939,"1",1.125,NA
"84","too","Adverb",4.8447939274251,"1",1,NA
"85","over","Adverb",4.82923299314807,"1",0.8,NA
"86","little","Adjective",4.86786212167258,"1",1.15,2.290322581
"87","any","Determiner",4.74872281045279,"1",-0.3125,NA
"88","off","Adverb",4.77927895066068,"1",1.9,NA
"89","down","Adverb",4.88084216334635,"1",0.569930069884615,NA
"90","give","Verb",4.77495468908014,"1",1.272727273,1.90625
"91","these","Determiner",4.66374802635839,"1",-0.214285714,NA
"92","first","Number",4.63215348351063,"1",1.3,NA
"93","two","Number",4.73547913286875,"1",1,NA
"94","mean","Verb",4.80239055645274,"1",NA,1.84375
"95","love","Verb",4.75484504348212,"1",1.125,2.325
"96","life","Noun",4.60884682232641,"1",0.333333333333333,2.419354839
"97","thing","Noun",4.74447292373366,"1",NA,2.333333333
"98","am","Verb",4.75157931021467,"1",0.583333333,NA
"99","find","Verb",4.62716095237478,"1",0,2.205882353
"100","much","Determiner",4.69580552538879,"1",0.416666667,NA
"101","their","Pronoun",4.5239284682734,"1",-1,NA
"102","after","Preposition",4.54174145009573,"1",0.75,NA
"103","work","Verb",4.60959440922522,"1",1.71428571428571,1.909090909
"104","those","Determiner",4.58438776944695,"1",0.272727273,NA
"105","must","Verb",4.55220569567072,"1",1.5,2.636363636
"106","day","Noun",4.61165959265179,"1",-0.153846154,2.214285714
"107","put","Verb",4.62584727111781,"1",1.230769231,2.054054054
"108","thought","Verb",4.61524493402638,"1",NA,2.25
"109","yes","Interjection",5.00790133239693,"1",2.25,NA
"110","please","Adverb",4.74934976059748,"1",0.6,NA
"111","call","Verb",4.64278097492916,"1",0.416666666666667,2
"112","home","Adverb",4.596509128342,"1",2,2
"113","help","Verb",4.67189452356435,"1",1.533333333,1.810810811
"114","talk","Verb",4.63954625045235,"1",0.214285714,NA
"115","keep","Verb",4.55445281584865,"1",NA,2.147058824
"116","other","Adjective",4.57410074928645,"1",-0.083333333,NA
"117","money","Noun",4.51428204786038,"1",-0.6,2.25
"118","around","Adverb",4.5748874310351,"1",0.6,NA
"119","long","Adverb",4.5369874751306,"1",0.090909091,NA
"120","guy","Noun",4.58988260986373,"1",NA,2.46875
"121","new","Adjective",4.56719110788338,"1",-0.285714286,NA
"122","which","Determiner",4.38632057389405,"1",0.090909091,NA
"123","father","Noun",4.45147940512486,"1",2,2.444444444
"124","away","Adverb",4.57144095368539,"1",0.75,NA
"125","better","Adverb",4.60740140330202,"1",-0.1,NA
"126","feel","Verb",4.50501424008411,"1",1.25,1.851851852
"127","kind","Noun",4.47894147175799,"1",-0.357142857142857,2.56
"128","old","Adjective",4.49215950205671,"1",1.266666667,2.047619048
"129","house","Noun",4.41854986204974,"1",0.454545455,2.058823529
"130","leave","Verb",4.45632047537437,"1",0.615384615384615,1.869565217
"131","name","Noun",4.51502561203207,"1",0.0714285714285714,1.955555556
"132","left","Verb",4.39283759266566,"1",0.454545454545455,NA
"133","big","Adjective",4.541891125096,"1",1.090909091,NA
"134","girl","Noun",4.45353237612511,"1",0.636363636,2.647058824
"135","great","Adjective",4.62185109554431,"1",NA,2.485714286
"136","night","Noun",4.64511756680654,"1",1.090909091,1.916666667
"137","another","Determiner",4.41448867223695,"1",0.117647059,NA
"138","may","Verb",4.41632423913641,"1",NA,2.115384615
