word,iconicity,humour,POS,logletterfreq,UnTrn,NSyll,NPhon,diff_rank
cup,1.5384615380000002,2.258064516,Noun,-3.6356546928766384,K.AH.P,1,3,13
stairs,1.4615384619999998,2.235294118,Noun,-2.5989716060759727,S.T.EH.R.Z,1,5,12
lick,1.166666667,2.9090909089999997,Verb,-3.2499795699195344,L.IH.K,1,3,16
mixer,2.4,2.5625,Noun,-2.8654060118784166,M.IH.K.S.ER,2,5,16
summer,0.5,2.344827586,Noun,-2.9034569974448203,S.AH.M.ER,2,4,10
racer,1.8181818181818201,2.078947368,Noun,-2.618118093601603,R.EY.S.ER,2,4,12
yawn,3.38461538461538,2.529411765,Verb,-3.032915064681707,Y.AO.N,1,3,17
acid,0.75,1.928571429,Noun,-2.859891050642578,AE.S.AH.D,2,4,6
gunshot,1.1,1.25,Noun,-2.861201380596385,G.AH.N.SH.AA.T,2,6,8
fine,-0.46153846200000004,2.263157895,Adjective,-2.6317838456487603,F.AY.N,1,3,6
doubt,-0.23076923076923106,2.114285714,Verb,-3.01348899514325,D.AW.T,1,3,5
paper,0.4166666670000001,1.928571429,Noun,-2.7767573991120007,P.EY.P.ER,2,4,5
saddle,1.27272727272727,2.578947368,Noun,-2.724942068772428,S.AE.D.AH.L,2,5,15
shadow,-0.23076923076923106,2.451612903,Noun,-2.8880743988474813,SH.AE.D.OW,2,4,9
mustard,-0.6,2.6176470590000003,Noun,-2.871493927841061,M.AH.S.T.ER.D,2,6,9
circus,0.6,2.9411764710000003,Noun,-3.0162751747853203,S.ER.K.AH.S,2,5,14
anchor,2.1666666666666696,2.304347826,Noun,-2.768862340498967,AE.NG.K.ER,2,4,14
mutter,1.84615384615385,2.625,Verb,-2.670754416358513,M.AH.T.ER,2,4,17
shock,2.25,2.5,Noun,-3.073477622178844,SH.AA.K,1,3,16
raft,0.3,1.9090909090000001,Noun,-2.7333680090865,R.AE.F.T,1,4,5
landslide,1.16666666666667,1.8,Noun,-2.7412623353083236,L.AE.N.D.S.L.AY.D,2,8,8
wind,1.142857143,2.322580645,Noun,-2.985781942700823,W.AY.N.D,1,4,12
leather,1.26666666666667,2.28125,Noun,-2.50470127711618,L.EH.DH.ER,2,4,12
poor,-1.2,1.636363636,Adjective,-2.8412959202495722,P.UH.R,1,3,2
arrest,0.5,1.727272727,Noun,-2.505517603692125,ER.EH.S.T,2,4,5
kingdom,1.92307692307692,2.21875,Noun,-3.108421163573655,K.IH.NG.D.AH.M,2,6,13
people,0.6,2.194444444,Noun,-2.707550326060559,P.IY.P.AH.L,2,5,9
rat,1.6363636363636398,1.9230769230000002,Noun,-2.533256910729047,R.AE.T,1,3,9
plum,0.7272727272727271,3.027777778,Noun,-3.549987455247318,P.L.AH.M,1,4,15
grave,1.64285714285714,1.6,Noun,-2.809086745279982,G.R.EY.V,1,4,9
sneak,3.4,2.6944444439999997,Verb,-2.649026860652749,S.N.IY.K,1,4,18
basket,-0.166666667,2.555555556,Noun,-2.7403151616894856,B.AE.S.K.AH.T,2,6,9
sandwich,-0.133333333,2.4375,Noun,-2.9095545773129388,S.AE.M.W.IH.CH,2,6,8
fool,0,2.8181818180000002,Noun,-2.931350014624723,F.UW.L,1,3,11
goldfish,2.5,2.324324324,Noun,-3.025161084244803,G.OW.L.D.F.IH.SH,2,7,14
welfare,-1.53846153846154,2.15625,Noun,-2.694570039545517,W.EH.L.F.EH.R,2,6,4
flute,1.54545454545455,2.441176471,Noun,-2.8097507559285493,F.L.UW.T,1,4,14
king,0.75,2,Noun,-3.1349943408874985,K.IH.NG,1,3,7
sigh,2.8,2.535714286,Noun,-2.941717685247753,S.AY,1,2,17
flesh,0.916666666666667,2.3,Noun,-2.807428645082489,F.L.EH.SH,1,4,11
buckle,1,2.5,Verb,-3.1958105519372046,B.AH.K.AH.L,2,5,13
cheek,1.3,2.7096774189999997,Noun,-2.7141688821103873,CH.IY.K,1,3,15
calf,-0.4,2.365853659,Noun,-3.095552608836202,K.AE.F,1,3,8
zoo,1.5384615380000002,2.666666667,Noun,-2.9924044834613164,Z.UW,1,2,16
rocket,0.9,2.655172414,Noun,-2.7382517098353314,R.AA.K.AH.T,2,5,14
jogger,0.1,2.48,Noun,-2.985781942700823,JH.AA.G.ER,2,4,10
home,2,2,Adverb,-2.6934079243653404,HH.OW.M,1,3,11
apple,0.083333333,2.333333333,Noun,-2.8473122684357177,AE.P.AH.L,2,4,8
tray,-0.066666667,1.80952381,Noun,-2.7512186965035887,T.R.EY,1,3,3
globe,-0.5714285714285711,2.441176471,Noun,-2.901513598315009,G.L.OW.B,1,4,7
flash,3.7272727272727297,2.648648649,Noun,-2.932569698596351,F.L.AE.SH,1,4,18
lantern,0.5,1.974358974,Noun,-2.5534302436478216,L.AE.N.T.ER.N,2,6,6
slave,-0.5714285714285711,1.477272727,Noun,-2.7287632426997517,S.L.EY.V,1,4,2
leg,0.31578947399999996,2.384615385,Noun,-2.7914318100412614,L.EH.G,1,3,10
hold,0.846153846,2.441176471,Verb,-2.970551975023693,HH.OW.L.D,1,4,12
blood,0.33333333333333304,1.7,Noun,-3.011048977665884,B.L.AH.D,1,4,5
pair,-0.5,2.6086956519999998,Noun,-2.8018115809166844,P.EH.R,1,3,9
grief,0.3,1.4814814809999999,Noun,-2.8124112164269532,G.R.IY.F,1,4,5
clip,1.75,2.15,Noun,-3.1718729712728644,K.L.IH.P,1,4,11
square,-0.214285714285714,2.272727273,Noun,-2.79989140476779,S.K.W.EH.R,1,5,7
feat,-1.14285714285714,2.131578947,Noun,-2.5329420988265574,F.IY.T,1,3,4
heat,1.46153846153846,2.173913043,Noun,-2.4490569968943032,HH.IY.T,1,3,12
grass,1.1,2.3913043480000002,Noun,-2.799179134513312,G.R.AE.S,1,4,13
shape,0.8,2.078947368,Noun,-2.6762608786128026,SH.EY.P,1,3,9
verdict,0.307692307692308,1.8285714290000001,Noun,-2.794775904614679,V.ER.D.IH.K.T,2,6,5
