word,POS,logfreq,nmorph,ico,fun,fun_perc,ico_perc,diff_rank,logfreq_perc
click,Verb,2.51587384371168,1,4.46153846153846,2.135135135,4,10,14,4
squeak,Verb,2.08635983067475,1,4.23076923076923,3.230769231,10,10,20,2
chirp,Verb,1.49136169383427,1,4.14285714285714,3,10,10,20,1
stomp,Verb,2.13672056715641,1,4.1,2.421052632,7,10,17,2
bang,Verb,3.00860017176192,1,3.83333333333333,2.84375,9,10,19,6
rip,Verb,3.01241537476243,1,3.736842105,2.827586207,9,10,19,6
moan,Verb,1.98677173426624,1,3.71428571428571,2.666666667,8,10,18,2
oink,Verb,1.7481880270062,1,3.61538461538462,3.871794872,10,10,20,1
zoom,Verb,2.26007138798507,1,3.6,3.043478261,10,10,20,3
smooch,Verb,1.39794000867204,1,3.6,3.333333333,10,10,20,1
babble,Verb,1.65321251377534,1,3.53846153846154,3.161290323,10,10,20,1
squawk,Verb,1.94448267215017,1,3.46153846153846,3.418604651,10,10,20,2
sneak,Verb,2.93550726582471,1,3.4,2.694444444,9,10,19,6
zip,Verb,2.5910646070265,1,3.4,2.625,8,10,18,4
yawn,Verb,1.7160033436348,1,3.38461538461538,2.529411765,8,10,18,1
sniff,Verb,2.26007138798507,1,3.36363636363636,2.903225806,9,10,19,3
twirl,Verb,1.83250891270624,1,3.36363636363636,2.5,7,10,17,1
chime,Verb,1.68124123737559,1,3.30769230769231,2.146341463,4,10,14,1
hop,Verb,2.9903388547876,1,3.3,2.730769231,9,10,19,6
scratch,Verb,2.98317507203781,1,3.28571428571429,1.8,1,10,11,6
heave,Verb,2.2718416065365,1,3.28571428571429,2.756097561,9,10,19,3
crawl,Verb,2.78887511577542,1,3.27272727272727,2.333333333,6,10,16,5
rattle,Verb,2.2380461031288,1,3.27272727272727,2.575757576,8,10,18,3
gush,Verb,1.56820172406699,1,3.27272727272727,3.029411765,10,10,20,1
sweep,Verb,2.68663626926229,1,3.235294118,2.333333333,6,10,16,5
whip,Verb,2.82736927305383,1,3.1,2.857142857,9,10,19,5
waddle,Verb,1.38021124171161,1,3.1,4.045454545,10,10,20,1
bash,Verb,2.22530928172586,1,3.08333333333333,2.731707317,9,10,19,3
mush,Verb,2.15836249209525,1,3.07692307692308,2.939393939,10,10,20,3
knock,Verb,3.51851393987789,1,3.0625,2.648648649,8,10,18,8
giggle,Verb,1.94448267215017,1,3,3.391304348,10,10,20,2
glide,Verb,2.08278537031645,1,3,2.5,7,10,17,2
ooze,Verb,1.44715803134222,1,3,3.233333333,10,10,20,1
dump,Verb,3.16761267272753,1,2.9375,3.09375,10,10,20,7
scurry,Verb,1.61278385671974,1,2.92307692307692,2.967741935,10,10,20,1
burst,Verb,2.63948648926859,1,2.91666666666667,2.594594595,8,10,18,4
break,Verb,4.05215506719956,1,2.9,2.034482759,3,10,13,10
clap,Verb,2.38381536598043,1,2.833333333,2.693877551,9,10,19,3
slash,Verb,2.0899051114394,1,2.81818181818182,2.625,8,10,18,2
clamp,Verb,2.54530711646582,1,2.81818181818182,2.75,9,10,19,4
elk,Verb,2.48713837547719,1,-1,2.25,5,1,6,4
lie,Verb,3.78774377164647,1,-0.636363636363636,1.757575758,1,1,2,9
meet,Verb,4.25447556780387,1,-0.615384615384615,2.666666667,8,1,9,10
vote,Verb,3.24353410183206,1,-0.571428571428571,2.214285714,4,1,5,7
wait,Verb,4.62679188098321,1,-0.5,1.833333333,1,1,2,10
share,Verb,3.5497387312649,1,-0.444444444,2.058823529,3,1,4,8
cheat,Verb,2.95520653754194,1,-0.363636363636364,2.225806452,5,2,7,6
lead,Verb,3.62808226099068,1,-0.307692307692308,2.3,6,2,8,9
cope,Verb,2.22271647114758,1,-0.307692307692308,1.617647059,1,2,3,3
try,Verb,4.3858742739042,1,-0.294117647,2.05,3,2,5,10
